排名,industry,得分,股票数,趋势分,动量分,动量入池分,代表股,入池,趋势贡献,动量贡献,总分
1,半导体,196,39,4.88,6.6,92.36,"ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)[ASX](8/8,+7%)、STMicroelectronics N.V.[STM](8/8,-6%)、Semtech Corporation[SMTC](7/8,+25%)、Silicon Motion Technology Corporation[SIMO](7/8,+24%)、Micron Technology Inc.[MU](7/8,+18%)、◆MaxLinear Inc.[MXL](+8%)、◎Cohu Inc.[COHU](+7%)、◆SK hynix Inc.[SKHY](+7%)、◎Aehr Test Systems[AEHR](+5%)、◆Ambiq Micro Inc.[AMBQ](+7%)、◆Ambarella Inc.[AMBA](+8%)、◆FormFactor Inc. FormFactor Inc.[FORM](+4%)",趋势+动量,4.03,7.75,11.78
2,石油天然气,312,55,5.35,5.13,71.86,"Geopark Ltd[GPRK](8/8,+28%)、Atlas Energy Solutions Inc.[AESI](8/8,+22%)、Valero Energy Corporation[VLO](8/8,+20%)、Delek US Holdings Inc.[DK](8/8,+18%)、International Seaways Inc.[INSW](8/8,+18%)、◎Solaris Energy Infrastructure Inc.[SEI](+6%)、◎Sasol Ltd.[SSL](+10%)、◎New Era Energy & Digital Inc.[NUAI](-2%)、◎Atlas Energy Solutions Inc.[AESI](+4%)、◎CVR Energy Inc.[CVI](+3%)、◆Equinor ASA[EQNR](+4%)、◆Liberty Energy Inc. Class A common stock[LBRT](+3%)",趋势+动量,4.42,6.02,10.44
3,互联网服务,22,4,5.34,3.74,52.38,"Meta Platforms Inc.[META](8/8,+9%)、DigitalOcean Holdings Inc.[DOCN](7/8,+10%)、Nebius Group N.V.[NBIS](6/8,+24%)、Nutex Health Inc.[NUTX](6/8,+19%)、◎DigitalOcean Holdings Inc.[DOCN](+5%)、◎Cloudflare Inc.[NET](+11%)、◆Bandwidth Inc.[BAND](+12%)、◆Meta Platforms Inc.[META](+7%)、◆Akamai Technologies Inc.[AKAM](+5%)、◎Nebius Group N.V.[NBIS](-1%)、◆Nutex Health Inc.[NUTX](+4%)",动量,4.41,4.39,8.8
4,零售,32,6,5.19,3.3,46.16,"GameStop Corporation[GME](8/8,+6%)、Jumia Technologies AG American Depositary Shares each representing two[JMIA](7/8,+29%)、Signet Jewelers Limited[SIG](7/8,+8%)、Abercrombie & Fitch Company[ANF](6/8,+29%)、Academy Sports and Outdoors Inc.[ASO](6/8,+3%)、◆Signet Jewelers Limited[SIG](+24%)、◆Academy Sports and Outdoors Inc.[ASO](+14%)、◆GameStop Corporation[GME](+5%)、◆Jumia Technologies AG American Depositary Shares each representing two[JMIA](+4%)、◎Abercrombie & Fitch Company[ANF](+0%)、◎Wayfair Inc.[W](+0%)、◎Williams-Sonoma Inc. Common Stock (DE)[WSM](-0%)",动量,4.29,3.87,8.16
5,化学制药,60,12,4.76,3.04,42.5,"Ocular Therapeutix Inc.[OCUL](7/8,+18%)、Summit Therapeutics Inc.[SMMT](7/8,+16%)、Sagimet Biosciences Inc. Series A[SGMT](7/8,+14%)、Mineralys Therapeutics Inc.[MLYS](7/8,+12%)、Pharvaris N.V.[PHVS](7/8,+10%)、◆Cybin Inc.[HELP](+10%)、◎COMPASS Pathways Plc American Depository Shares[CMPS](+8%)、◎Ocular Therapeutix Inc.[OCUL](+1%)、◎Pharvaris N.V.[PHVS](-0%)、◎Mineralys Therapeutics Inc.[MLYS](-2%)、◆Septerna Inc.[SEPN](+2%)、◎Abivax SA[ABVX](+0%)",趋势+动量,3.93,3.57,7.5
6,计算机软件,62,12,4.73,2.82,39.61,"PayPay Corporation American Depository Shares[PAYP](8/8,+20%)、Inspire Medical Systems Inc.[INSP](8/8,+12%)、Oracle Corporation[ORCL](8/8,+11%)、International Business Machines Corporation[IBM](7/8,+1%)、MARA Holdings Inc.[MARA](6/8,+23%)、◆Swarmer Inc[SWMR](+11%)、◆Fastly Inc.[FSLY](+6%)、◆Inspire Medical Systems Inc.[INSP](+7%)、◆Datadog Inc.[DDOG](+7%)、◆International Business Machines Corporation[IBM](+3%)、◆MARA Holdings Inc.[MARA](+1%)、◆GDS Holdings Limited[GDS](+1%)",趋势+动量,3.91,3.31,7.22
7,通信设备,36,7,5.07,2.39,33.42,"QUALCOMM Incorporated[QCOM](8/8,+9%)、Lumentum Holdings Inc.[LITE](7/8,+20%)、Nokia Corporation Sponsored[NOK](7/8,+14%)、EchoStar  Corporation[ECHO](6/8,+4%)、Viavi Solutions Inc.[VIAV](6/8,+2%)、◎Viavi Solutions Inc.[VIAV](+1%)、◎Lumentum Holdings Inc.[LITE](+1%)、◎Nokia Corporation Sponsored[NOK](+1%)、◆F5 Inc.[FFIV](+4%)、◎Arteris Inc.[AIP](-0%)、◆QUALCOMM Incorporated[QCOM](+1%)、◆Ciena Corporation[CIEN](-1%)",动量,4.19,2.81,7.0
8,非银行金融,174,35,4.22,2.5,34.96,"Jackson Financial Inc.[JXN](8/8,+7%)、Jefferies Financial Group Inc.[JEF](8/8,+1%)、Figure Technology Solutions Inc.[FIGR](7/8,+37%)、Marex Group Limited[MRX](7/8,+27%)、Uranium Royalty Corp.[UROY](7/8,+15%)、◎Securitize Corp.[SECZ](+2%)、◆Gold.com Inc.[GOLD](+4%)、◆Chime Financial Inc.[CHYM](+7%)、◎Eos Energy Enterprises Inc.[EOSE](-3%)、◎Keel Infrastructure Corp.[KEEL](-1%)、◎Uranium Royalty Corp.[UROY](-0%)、◆Figure Technology Solutions Inc.[FIGR](-0%)",趋势+动量,3.49,2.93,6.42
9,生物医药,44,9,4.59,2.11,29.56,"Tarsus Pharmaceuticals Inc.[TARS](7/8,+19%)、Verastem Inc.[VSTM](7/8,+13%)、Altimmune Inc.[ALT](7/8,+12%)、Insmed Incorporated[INSM](7/8,-3%)、Roivant Sciences Ltd.[ROIV](6/8,+19%)、◎Roivant Sciences Ltd.[ROIV](+1%)、◆Tango Therapeutics Inc.[TNGX](+6%)、◆Agios Pharmaceuticals Inc.[AGIO](+3%)、◆Insmed Incorporated[INSM](+3%)、◆uniQure N.V.[QURE](+1%)、◆Madrigal Pharmaceuticals Inc.[MDGL](+2%)、◆BridgeBio Pharma Inc.[BBIO](+2%)",趋势+动量,3.79,2.48,6.27
10,基本金属,16,4,3.94,2.19,30.69,"Lithium Americas Corp.[LAC](6/8,-2%)、Compass Minerals Intl Inc[CMP](6/8,-5%)、Century Aluminum Company[CENX](6/8,-9%)、Materion Corporation[MTRN](6/8,-10%)、◆Lithium Americas Corp.[LAC](+6%)、◎Ero Copper Corp.[ERO](+1%)、◎Ivanhoe Electric Inc.[IE](-1%)、◎Trekor Metals Limited[TGB](+0%)、◆Southern Copper Corporation[SCCO](+0%)、◎Freeport-McMoRan Inc.[FCX](-1%)、◎Hudbay Minerals Inc. Ordinary Shares (Canada)[HBM](-1%)",动量,3.25,2.57,5.82
